0.452,0.817,0.043,0.028,0.51,fly
0.472,0.658,0.072,0.065,0.94,fly
0.435,0.62,0.081,0.071,0.89,fly
0.568,1.041,0.065,0.036,0.44,fly
0.67,1.014,0.11,0.061,0.56,fly
0.664,1.0,0.144,0.074,0.46,fly
0.546,1.008,0.069,0.039,0.44,fly
0.595,1.021,0.105,0.06,0.48,fly
0.647,0.98,0.115,0.063,0.58,fly
0.635,1.017,0.043,0.024,0.51,fly
0.568,1.018,0.032,0.019,0.5,fly
0.644,1.031,0.094,0.051,0.49,fly
0.529,0.684,0.051,0.039,0.87,fly
0.648,1.001,0.12,0.068,0.56,fly
0.62,0.976,0.14,0.075,0.53,fly
0.696,1.004,0.149,0.081,0.57,fly
0.52,0.881,0.037,0.026,0.55,fly
0.652,1.019,0.253,0.145,0.69,jingui
0.499,1.106,0.371,0.285,0.78,jingui
0.514,0.805,0.35,0.234,0.58,jingui
0.436,0.782,0.284,0.224,0.52,jingui
0.664,0.952,0.426,0.262,0.59,jingui
0.501,1.164,0.383,0.249,0.59,jingui
0.49,1.344,0.307,0.209,0.51,jingui
0.654,1.418,0.393,0.217,0.48,jingui
0.653,1.749,0.368,0.251,0.54,jingui
0.441,0.957,0.18,0.154,0.58,jingui
0.404,1.028,0.12,0.073,0.42,jingui
0.425,0.821,0.341,0.229,0.6,jingui
0.654,1.418,0.393,0.217,0.48,jingui
0.502,1.02,0.364,0.285,0.82,jingui
0.432,0.714,0.369,0.265,0.65,jingui
0.652,1.125,0.446,0.243,0.58,jingui
0.462,0.795,0.198,0.198,0.7,wo
0.542,1.216,0.252,0.189,0.52,wo
0.598,1.15,0.417,0.228,0.58,wo
0.462,0.795,0.198,0.198,0.7,wo
0.534,1.68,0.259,0.167,0.32,wo
0.495,1.249,0.214,0.152,0.46,wo
0.398,0.959,0.254,0.23,0.63,wo
0.461,0.793,0.2,0.199,0.7,wo
0.363,0.956,0.323,0.189,0.44,zhang
0.405,1.116,0.333,0.189,0.43,zhang
0.421,1.187,0.314,0.192,0.49,zhang
0.34,1.058,0.268,0.191,0.48,zhang
0.257,0.869,0.263,0.183,0.45,zhang
0.386,1.005,0.326,0.189,0.44,zhang
0.355,0.838,0.291,0.239,0.68,zhang
0.384,1.521,0.131,0.107,0.4,zhang
0.247,1.038,0.169,0.16,0.41,zhang
0.319,0.866,0.309,0.244,0.48,zhang
0.24,0.749,0.137,0.103,0.44,zhizhu
0.207,0.681,0.167,0.145,0.48,zhizhu
0.211,0.836,0.058,0.042,0.36,zhizhu
0.21,0.587,0.158,0.147,0.54,zhizhu
0.217,0.864,0.145,0.11,0.36,zhizhu
0.299,0.754,0.178,0.125,0.51,zhizhu
0.284,0.815,0.151,0.098,0.42,zhizhu
0.285,0.72,0.208,0.151,0.51,zhizhu
0.234,0.617,0.103,0.089,0.51,zhizhu
0.192,0.702,0.123,0.097,0.38,zhizhu
0.163,0.56,0.119,0.118,0.48,zhizhu
0.165,0.602,0.134,0.142,0.55,zhizhu
